Docking Station Name,Docking Station ID,Docking Station Capacity,Latitude,Longitude
"Wapping Lane, Wapping",458,28,51.5047,-0.057544
"Gunmakers Lane, Old Ford",459,17,51.5352,-0.03338
"Burdett Road, Mile End",460,33,51.5162,-0.029138
"Aston Street, Stepney",461,20,51.516,-0.038775
"Bonny Street, Camden Town",462,45,51.5416,-0.138853
"Thurtle Road, Haggerston",463,22,51.5348,-0.071881
"St. Mary & St. Michael Church, Stepney",464,25,51.5142,-0.052099
"Pitfield Street North,Hoxton",465,28,51.5321,-0.08299
"Whiston Road, Haggerston",466,21,51.5345,-0.076341
"Southern Grove, Bow",467,17,51.5235,-0.030556
"Cantrell Road, Bow",468,24,51.5216,-0.022694
"Lindfield Street, Poplar",469,44,51.5138,-0.020467
"Mostyn Grove, Bow",470,46,51.5305,-0.025492
"Hewison Street, Old Ford",471,19,51.5333,-0.028155
"Malmesbury Road, Bow",472,21,51.5295,-0.027616
"Millharbour, Millwall",473,19,51.4961,-0.019355
"Gascoyne Road, Victoria Park",474,20,51.541515,-0.038557746
"Lightermans Road, Millwall",475,57,51.499,-0.020157
"Stebondale Street, Cubitt Town",476,29,51.4891,-0.009205
"Spindrift Avenue, Millwall",477,36,51.4911,-0.018716
"Stepney Green Station, Stepney",478,21,51.5219,-0.04667
"Pott Street, Bethnal Green",479,20,51.5272,-0.058005
"Flamborough Street, Limehouse",480,25,51.5129,-0.0389866
"Saunders Ness Road, Cubitt Town",481,35,51.4871,-0.009001
"Exhibition Road Museums 2, South Kensington",482,14,51.4999,-0.174554
"Albert Gardens, Stepney",483,33,51.5133,-0.047784
"Bromley High Street, Bow",484,24,51.5288,-0.013258
"Old Ford Road, Bethnal Green",485,24,51.5311,-0.048017
